"","Hora","Zona","N","Temperatura","sd","se","ci","Hum_Rel","HR_sd","HR_se","HR_ci"
"1","00","Dentro",42,20.3857142857143,1.04264472086003,0.160883573248992,0.324910967647346,74.6738095238095,4.23850292966575,0.654015200871566,1.32081049345157
"2","00","Fuera",36,19.3777777777778,0.970746726159407,0.161791121026568,0.328453437516546,72.6694444444445,5.08677947200637,0.847796578667728,1.72111855589687
"3","01","Dentro",42,20.1357142857143,0.889456240734295,0.137246077589991,0.277174076725362,75.45,3.79192016484859,0.585105984224945,1.1816455071927
"4","01","Fuera",36,19.0222222222222,1.09364687722477,0.182274479537462,0.370036866026706,74.4416666666667,5.76865297472964,0.961442162454941,1.95183135655393
"5","02","Dentro",42,19.9119047619048,0.758754557490995,0.117078370019865,0.236444565007613,76.2952380952381,3.11424362511383,0.480538223953153,0.970466631136526
"6","02","Fuera",36,18.6472222222222,1.07051018841114,0.178418364735191,0.362208536794372,75.6972222222222,5.84257702980511,0.973762838300852,1.97684365827012
"7","03","Dentro",42,19.7357142857143,0.688165262543401,0.106186205337989,0.21444739217577,76.8690476190476,2.92178429407302,0.450841104442092,0.910492081579845
"8","03","Fuera",36,18.2611111111111,1.12052991998755,0.186754986664591,0.379132779068074,77.3722222222222,5.349478538598,0.891579756433,1.81000313220214
"9","04","Dentro",42,19.4880952380952,0.762282317892717,0.117622715267714,0.23754389253771,77.6666666666667,2.89925698359262,0.447365064969331,0.903472077449731
"10","04","Fuera",36,17.9555555555556,1.40375912554102,0.233959854256836,0.474963755019098,78.7555555555556,5.14639648933084,0.857732748221807,1.74129005248505
"11","05","Dentro",42,19.3285714285714,0.821742857615332,0.126797675737468,0.256073101108557,78.4833333333333,2.99942406395747,0.462821181025549,0.934686337069162
"12","05","Fuera",36,17.825,1.44862003299692,0.241436672166153,0.490142502334887,80.6416666666667,3.42414744342088,0.570691240570146,1.15856481206448
"13","06","Dentro",42,19.2642857142857,0.81054676775481,0.125070081565513,0.252584153897998,78.9071428571429,2.66416077090712,0.411088931788558,0.830210940241972
"14","06","Fuera",36,17.9444444444444,1.22578125395181,0.204296875658636,0.414744706991371,82.6416666666667,3.08428042082521,0.514046736804201,1.04357035587743
"15","07","Dentro",42,19.9095238095238,0.945027944820919,0.145820977693659,0.294491438802162,78.0952380952381,2.82894036707467,0.436514975482612,0.881559877198347
"16","07","Fuera",36,21.8638888888889,2.78507786788067,0.464179644646778,0.942334776729851,83.3888888888889,3.86713461864598,0.644522436440996,1.30845010815409
"17","08","Dentro",42,22.2428571428571,2.00148028842348,0.308835113386837,0.623705164595625,74.1761904761905,4.69243342787397,0.724058197395055,1.46226519462324
"18","08","Fuera",36,27.5194444444444,3.72281149090649,0.620468581817748,1.25961818717846,77.9111111111111,7.08470294881979,1.1807838248033,2.39711860428294
"19","09","Dentro",42,25.5714285714286,2.63469216180116,0.406541826684784,0.821027875187998,66.4357142857143,6.36518048825669,0.982168672451351,1.98352987389952
"20","09","Fuera",36,33.7944444444444,3.77245236224353,0.628742060373922,1.27641424158956,67.55,10.1512138612652,1.69186897687753,3.43467662351988
"21","10","Dentro",42,26.7857142857143,2.45024353479219,0.378080785641393,0.763549636739456,62.347619047619,5.76246213024912,0.889167210727131,1.79570961163652
"22","10","Fuera",36,37.3416666666667,2.28677876998566,0.381129794997611,0.773734618517077,55.5305555555556,8.77827901924304,1.46304650320717,2.97014230555982
"23","11","Dentro",42,28.1714285714286,2.79610231452823,0.431447953968464,0.871326819652418,58.8904761904762,7.06150020417514,1.08961313726222,2.20051837263222
"24","11","Fuera",36,39.2611111111111,2.69393793308264,0.448989655513774,0.911497459360903,48.6777777777778,7.9304156299334,1.32173593832223,2.68326660744137
"25","12","Dentro",42,29.7142857142857,2.81282528122843,0.434028363751609,0.876538062930007,55.2309523809524,7.29959865569762,1.12635252595293,2.27471507332207
"26","12","Fuera",36,40.6166666666667,1.75605076399126,0.292675127331877,0.594162096398121,44.3277777777778,6.01372768213864,1.00228794702311,2.03475270764137
"27","13","Dentro",42,30.2428571428571,2.83532962398643,0.437500859227865,0.883550909813978,53.0642857142857,6.28264436436277,0.969433072041633,1.95780980708892
"28","13","Fuera",36,41.6833333333333,1.24682453800502,0.207804089667503,0.421864729956843,40.7333333333333,3.69640752236933,0.616067920394888,1.25068436953436
"29","14","Dentro",42,31.6904761904762,3.32050609746793,0.512365214408854,1.03474254232766,50.2452380952381,6.5517155593933,1.01095165881315,2.04165829410882
"30","14","Fuera",36,41.8333333333333,1.32751109761302,0.221251849602169,0.449165134017416,38.625,2.55827788058407,0.426379646764011,0.8655967013402
"31","15","Dentro",42,31.497619047619,2.46294371713498,0.380040466322015,0.767507292162954,50.597619047619,5.8487225244842,0.902477478526655,1.82259024278521
"32","15","Fuera",36,39.2277777777778,2.62685157676432,0.437808596127387,0.888798702054361,38.05,2.54317012520088,0.423861687533481,0.860484972343289
"33","16","Dentro",42,30.3261904761905,1.84206399663854,0.284236645525887,0.574027550940351,52.3761904761905,4.66229345446175,0.719407498529781,1.45287291772364
"34","16","Fuera",36,32.3305555555556,1.61542907956713,0.269238179927855,0.546582563659232,42.6777777777778,2.86058047167365,0.476763411945608,0.967881182490463
"35","17","Dentro",42,27.6,1.48865629376818,0.229704653070582,0.463897957977063,57.7142857142857,3.50627113643967,0.541029382228033,1.0926310036221
"36","17","Fuera",36,28.25,1.98659795342979,0.331099658904965,0.672168042583954,47.3916666666667,3.29877682958829,0.549796138264715,1.11614549921262
"37","18","Dentro",42,25.0690476190476,1.6200704735105,0.249982301237343,0.504849499234031,63.0690476190476,4.12064925592558,0.635829984208119,1.28408470334339
"38","18","Fuera",36,24.2333333333333,1.20095200332308,0.200158667220513,0.406343697232385,52.8472222222222,3.61405874812801,0.602343124688002,1.2228215529562
"39","19","Dentro",42,23.5404761904762,1.95186708911381,0.301179630531018,0.608244603319787,67.0142857142857,5.47738460949008,0.845178794275123,1.70687320238685
"40","19","Fuera",36,22.2861111111111,0.680400209027337,0.11340003483789,0.230214309788265,58.0083333333333,3.46701806827052,0.577836344711754,1.17307014463053
"41","20","Dentro",42,22.5833333333333,2.05745718820607,0.317472536543782,0.641148794540115,69.2857142857143,5.98345570387872,0.923267259458272,1.86457605714311
"42","20","Fuera",36,21.2888888888889,0.595592275579661,0.0992653792632768,0.201519433443155,61.9055555555556,3.13596141051735,0.522660235086225,1.06105668702973
"43","21","Dentro",42,22.047619047619,1.99587844774298,0.307970730603882,0.621959508151303,69.8904761904762,6.02631665701686,0.929880848110056,1.87793247038703
"44","21","Fuera",36,20.6416666666667,0.556712287836878,0.0927853813061464,0.188364338215339,64.8027777777778,3.11406818084008,0.519011363473347,1.05364908383926
"45","22","Dentro",42,21.6261904761905,1.87773339282797,0.28974055284904,0.585142917276971,70.552380952381,6.42985559505708,0.992148258089808,2.00368405596441
"46","22","Fuera",36,19.8861111111111,0.706359996350618,0.117726666058436,0.238997838131712,67.2388888888889,3.1705139536294,0.528418992271567,1.07274758564856
"47","23","Dentro",42,21.1428571428571,1.74021905785966,0.268521630295622,0.54229043383172,71.4261904761905,6.67339309328231,1.02972690990735,2.07957568292388
"48","23","Fuera",36,19.3722222222222,0.813672840927785,0.135612140154631,0.275307280894913,69.6694444444445,3.44630812356349,0.574384687260581,1.1660629074733
